,team_size,n_sources,heuristic_size,reliability_mean,reliability_range,n_samples,team_type,accuracy,precision,pool_accuracy,bounded_pool_accuracy,diversity,average
6393,9,15,9,0.55,0.2,10000,diverse,0.6492383657186147,,0.6546420141048676,0.6544926175992013,0.4444444444444441,0.6199604028629287
6394,9,15,9,0.55,0.2,10000,diverse,0.6422666506502649,,0.6546420141048676,0.6540758563182504,0.4444444444444443,0.6145219928904083
6395,9,15,9,0.55,0.2,10000,diverse,0.6526903547399153,,0.6546420141048676,0.6547436155516385,0.4444444444444442,0.6243680162119342
6396,9,15,9,0.55,0.2,10000,diverse,0.6462474983355521,,0.6546420141048676,0.6543619549038521,0.4444444444444443,0.6180766637275554
6397,9,15,9,0.55,0.2,10000,diverse,0.6539095998443235,,0.6546420141048676,0.6547884583974583,0.4444444444444442,0.6250527535334014
6398,9,15,9,0.55,0.2,10000,diverse,0.6458788522393103,,0.6546420141048676,0.6542701691617268,0.4444444444444441,0.6170799172703227
6399,9,15,9,0.55,0.2,10000,diverse,0.6525627251169631,,0.6546420141048676,0.6547431800726863,0.4444444444444442,0.6244532204082741
6400,9,15,9,0.55,0.2,10000,diverse,0.6472674654270307,,0.6546420141048676,0.654419381394493,0.444444444444444,0.6191376892323583
6401,9,15,9,0.55,0.2,10000,diverse,0.6592013457606798,,0.6546420141048676,0.6548675937074391,0.4444444444444442,0.6261619139236894
6402,9,15,9,0.55,0.2,10000,diverse,0.6480720480665572,,0.6546420141048676,0.6545500808515128,0.4444444444444442,0.621213023284515
